epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,3040.67,1.2045,1.48202,1.29319,0.49915,0.31185,0.28166,0.17723,1.1497,1.62309,1.27802,0.000257595,0.000257595,0.000257595
33,3135.59,1.20201,1.48707,1.29539,0.40861,0.25926,0.28716,0.17282,1.12233,1.54264,1.26863,0.000244389,0.000244389,0.000244389
34,3228.22,1.1649,1.41445,1.26583,0.41913,0.30882,0.28764,0.16936,1.12336,1.57789,1.27774,0.000231182,0.000231182,0.000231182
35,3322.35,1.21659,1.4538,1.29139,0.43427,0.28051,0.28327,0.16699,1.12305,1.5894,1.28019,0.000217976,0.000217976,0.000217976
36,3414.67,1.21401,1.46113,1.28874,0.60244,0.2963,0.28116,0.16598,1.14636,1.58456,1.29344,0.000204769,0.000204769,0.000204769
37,3507.61,1.19333,1.39681,1.29371,0.52539,0.3005,0.2901,0.17239,1.14591,1.56141,1.28441,0.000191562,0.000191562,0.000191562
38,3602.38,1.16415,1.39519,1.26017,0.4235,0.31754,0.29603,0.1772,1.12692,1.46591,1.27302,0.000178356,0.000178356,0.000178356
39,3695.28,1.17962,1.37984,1.26838,0.51607,0.32149,0.29187,0.17503,1.12512,1.51658,1.28879,0.000165149,0.000165149,0.000165149
40,3789.25,1.17759,1.40107,1.27741,0.52125,0.32006,0.30115,0.1803,1.12875,1.50298,1.28311,0.000151943,0.000151943,0.000151943
41,3879.65,1.08938,1.48795,1.24156,0.39707,0.30487,0.29289,0.17065,1.13443,1.52825,1.27197,0.000138736,0.000138736,0.000138736
42,3970.81,1.07267,1.37457,1.24107,0.41427,0.2807,0.29586,0.1724,1.10142,1.5148,1.26165,0.000125529,0.000125529,0.000125529
43,4062.38,1.03638,1.34737,1.20965,0.51862,0.29155,0.29284,0.1746,1.08622,1.54353,1.26195,0.000112323,0.000112323,0.000112323
44,4152.17,1.03875,1.27372,1.22168,0.4952,0.31328,0.28927,0.17354,1.09956,1.49624,1.25898,9.91162e-05,9.91162e-05,9.91162e-05
45,4243.94,1.04126,1.29967,1.22444,0.5043,0.29906,0.29139,0.1723,1.09232,1.53261,1.25274,8.59096e-05,8.59096e-05,8.59096e-05
46,4334.41,1.01694,1.26664,1.20481,0.48021,0.31964,0.29227,0.17372,1.09449,1.53708,1.25939,7.2703e-05,7.2703e-05,7.2703e-05
47,4424.79,1.01165,1.22714,1.20305,0.49861,0.29919,0.29921,0.18452,1.10167,1.47217,1.26377,5.94964e-05,5.94964e-05,5.94964e-05
48,4516.13,1.01648,1.24933,1.19983,0.50805,0.29891,0.29393,0.17501,1.09342,1.49678,1.25729,4.62898e-05,4.62898e-05,4.62898e-05
49,4608.53,0.97453,1.20983,1.17972,0.49989,0.29906,0.29973,0.18047,1.08028,1.46438,1.25064,3.30832e-05,3.30832e-05,3.30832e-05
50,4701.25,1.00367,1.25232,1.20263,0.51068,0.29092,0.29588,0.17715,1.08074,1.50904,1.25052,1.98766e-05,1.98766e-05,1.98766e-05
