epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.889,1.65892,3.65519,1.49569,0.67317,0.07971,0.05958,0.03664,1.45138,3.13969,1.41672,0.000221621,0.000221621,0.000221621
2,209.494,1.64695,2.98983,1.50587,0.75785,0.09072,0.09347,0.05225,1.44827,2.61217,1.42466,0.000435164,0.000435164,0.000435164
3,314.229,1.62519,2.63262,1.49428,0.75455,0.1248,0.12862,0.07027,1.46764,2.42105,1.48724,0.000639902,0.000639902,0.000639902
4,406.979,1.63081,2.47606,1.50001,0.6431,0.1773,0.14128,0.08011,1.42671,2.4333,1.45747,0.00062738,0.00062738,0.00062738
5,500.795,1.66667,2.3242,1.54485,0.51925,0.21474,0.13461,0.07479,1.44391,2.28889,1.4294,0.000614174,0.000614174,0.000614174
6,594.734,1.54755,2.24732,1.47796,0.6357,0.1913,0.14178,0.07822,1.41516,2.17281,1.44002,0.000600967,0.000600967,0.000600967
7,688.983,1.54129,2.15624,1.46392,0.63571,0.21017,0.14515,0.08258,1.40864,2.1258,1.42083,0.00058776,0.00058776,0.00058776
8,782.846,1.51878,2.18094,1.47073,0.7566,0.18469,0.16999,0.09255,1.38943,2.25445,1.40945,0.000574554,0.000574554,0.000574554
9,875.315,1.49197,2.07691,1.43415,0.66888,0.21042,0.17189,0.09979,1.33982,1.97572,1.37925,0.000561347,0.000561347,0.000561347
10,969.372,1.46938,2.04142,1.4263,0.70777,0.2111,0.17767,0.1029,1.34536,2.00574,1.38516,0.000548141,0.000548141,0.000548141
11,1062.67,1.44509,1.93545,1.42856,0.65829,0.22351,0.17915,0.10305,1.32316,2.04302,1.37304,0.000534934,0.000534934,0.000534934
12,1156.82,1.4412,1.85412,1.43214,0.70995,0.22856,0.2028,0.11957,1.3467,1.86709,1.39931,0.000521727,0.000521727,0.000521727
13,1249.07,1.39975,1.88717,1.38818,0.58396,0.22215,0.19879,0.11248,1.33377,1.98384,1.41485,0.000508521,0.000508521,0.000508521
14,1343.28,1.40453,1.89185,1.39567,0.61723,0.25276,0.2045,0.11969,1.26862,2.24187,1.37719,0.000495314,0.000495314,0.000495314
15,1437.54,1.40084,1.85495,1.3877,0.59089,0.22266,0.21545,0.12665,1.28646,1.92848,1.34014,0.000482108,0.000482108,0.000482108
16,1529.91,1.33013,1.78942,1.35936,0.59838,0.21996,0.19905,0.1156,1.30559,2.09781,1.37606,0.000468901,0.000468901,0.000468901
17,1624.11,1.32431,1.74783,1.35263,0.59732,0.2281,0.20324,0.12378,1.2727,2.02793,1.36196,0.000455694,0.000455694,0.000455694
18,1718.26,1.33024,1.80302,1.36479,0.58366,0.26904,0.24116,0.13916,1.23775,2.04691,1.36363,0.000442488,0.000442488,0.000442488
19,1812.37,1.35204,1.73945,1.36396,0.50345,0.23378,0.21879,0.13036,1.2353,1.84934,1.33143,0.000429281,0.000429281,0.000429281
20,1903.79,1.33273,1.69168,1.34526,0.4782,0.24259,0.19764,0.11855,1.25152,1.87099,1.33042,0.000416075,0.000416075,0.000416075
21,1995.47,1.29873,1.65057,1.3303,0.49043,0.25847,0.23164,0.1423,1.21815,1.88832,1.33108,0.000402868,0.000402868,0.000402868
22,2089.32,1.31268,1.65039,1.3364,0.59895,0.24813,0.22756,0.13754,1.19697,1.85455,1.33009,0.000389661,0.000389661,0.000389661
23,2182.53,1.28481,1.62151,1.32701,0.6078,0.25674,0.2462,0.14783,1.16782,1.70974,1.28709,0.000376455,0.000376455,0.000376455
24,2277.85,1.31086,1.6431,1.33266,0.52833,0.22339,0.2363,0.14584,1.20673,1.6862,1.3159,0.000363248,0.000363248,0.000363248
25,2373.48,1.27746,1.62889,1.32011,0.51439,0.23686,0.23502,0.13989,1.16421,2.01682,1.29647,0.000350042,0.000350042,0.000350042
26,2467.43,1.27502,1.56861,1.3273,0.3863,0.35255,0.26356,0.14758,1.15956,1.70786,1.33034,0.000336835,0.000336835,0.000336835
27,2560.45,1.22285,1.57403,1.28882,0.36978,0.31855,0.27368,0.16882,1.14823,1.78078,1.28686,0.000323628,0.000323628,0.000323628
28,2664.09,1.24578,1.53857,1.30853,0.44671,0.34426,0.26677,0.16709,1.14116,1.58449,1.29554,0.000310422,0.000310422,0.000310422
29,2757.77,1.22599,1.497,1.29728,0.52247,0.27142,0.28804,0.17025,1.15765,1.62756,1.29836,0.000297215,0.000297215,0.000297215
30,2850.56,1.19062,1.45122,1.28065,0.37782,0.3151,0.26954,0.15812,1.14317,1.72094,1.28925,0.000284009,0.000284009,0.000284009
31,2947.07,1.22211,1.45796,1.30593,0.35123,0.30838,0.28072,0.16053,1.17503,1.69074,1.31496,0.000270802,0.000270802,0.000270802
