epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.3432,1.70124,4.039,1.61163,0.00483,0.29554,0.02773,0.01588,1.5286,4.06865,1.40099,0.000220065,0.000220065,0.000220065
2,61.8308,1.75083,3.73385,1.61334,0.6545,0.11097,0.06565,0.03342,1.66159,3.12084,1.51863,0.0004132,0.0004132,0.0004132
3,94.0653,1.64417,3.34798,1.56333,0.77896,0.10098,0.10348,0.0444,1.73715,3.3217,1.60797,0.000576987,0.000576987,0.000576987
4,125.112,1.66794,3.11457,1.57178,0.6983,0.12181,0.08456,0.04485,1.68489,2.9071,1.5594,0.000534934,0.000534934,0.000534934
5,156.433,1.75325,3.09616,1.61936,0.60502,0.15791,0.09066,0.04883,1.69276,2.77881,1.59509,0.000490912,0.000490912,0.000490912
6,187.245,1.63138,2.91615,1.58045,0.65139,0.15761,0.12831,0.06599,1.737,2.61576,1.62568,0.00044689,0.00044689,0.00044689
7,222.171,1.63288,2.7696,1.59081,0.80097,0.12153,0.12975,0.06759,1.64585,2.66491,1.62359,0.000402868,0.000402868,0.000402868
8,254.56,1.44517,2.61565,1.47606,0.66649,0.14447,0.13965,0.07412,1.64432,2.55041,1.62652,0.000358846,0.000358846,0.000358846
9,285.509,1.53727,2.56941,1.52936,0.63428,0.19702,0.1507,0.07893,1.64831,2.37914,1.62411,0.000314824,0.000314824,0.000314824
10,329.082,1.46449,2.53067,1.47751,0.68196,0.17147,0.1608,0.07939,1.66626,2.40247,1.62592,0.000270802,0.000270802,0.000270802
11,380.417,1.48644,2.47603,1.50049,0.70089,0.16411,0.16975,0.08323,1.68312,2.41895,1.63579,0.00022678,0.00022678,0.00022678
12,409.813,1.44218,2.44952,1.50491,0.71671,0.19097,0.17363,0.08384,1.65823,2.32453,1.61184,0.000182758,0.000182758,0.000182758
13,441.455,1.41679,2.40234,1.45157,0.69147,0.19637,0.17148,0.08597,1.64983,2.34829,1.59937,0.000138736,0.000138736,0.000138736
14,471.068,1.40263,2.42277,1.44189,0.66965,0.2066,0.17408,0.08625,1.61898,2.31883,1.58138,9.4714e-05,9.4714e-05,9.4714e-05
15,503.018,1.36887,2.30953,1.45358,0.65318,0.21269,0.17578,0.08275,1.64919,2.31166,1.58146,5.0692e-05,5.0692e-05,5.0692e-05
