epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.746,1.65892,3.65519,1.49569,0.67317,0.07971,0.05958,0.03664,1.45138,3.13969,1.41672,0.000221621,0.000221621,0.000221621
2,200.231,1.64251,2.98394,1.50538,0.73026,0.12698,0.09772,0.05342,1.44946,2.53709,1.4221,0.000414653,0.000414653,0.000414653
3,319.21,1.60608,2.64076,1.48415,0.73682,0.16759,0.1311,0.07416,1.40361,2.48156,1.42741,0.000578337,0.000578337,0.000578337
4,416.785,1.62409,2.49463,1.48052,0.63334,0.19422,0.14281,0.0795,1.37369,2.54347,1.40437,0.000534934,0.000534934,0.000534934
5,513.265,1.64943,2.33376,1.51223,0.55259,0.21649,0.14331,0.08118,1.41822,2.27418,1.39856,0.000490912,0.000490912,0.000490912
6,607.543,1.50707,2.41974,1.46762,0.67176,0.20745,0.14403,0.08335,1.35386,2.0772,1.37375,0.00044689,0.00044689,0.00044689
7,704.336,1.46452,2.27026,1.49145,0.66666,0.20847,0.16147,0.0941,1.33877,2.19246,1.39573,0.000402868,0.000402868,0.000402868
8,798.103,1.40688,2.18729,1.45786,0.68276,0.17813,0.16619,0.0948,1.29223,2.06244,1.36899,0.000358846,0.000358846,0.000358846
9,893.805,1.34607,2.0719,1.40818,0.65963,0.21492,0.15147,0.09271,1.29315,2.06275,1.37216,0.000314824,0.000314824,0.000314824
10,1000.44,1.32073,1.95859,1.39974,0.58239,0.21652,0.17891,0.1075,1.26758,2.06587,1.33655,0.000270802,0.000270802,0.000270802
11,1094.34,1.3126,1.93541,1.35659,0.70769,0.2128,0.19049,0.11154,1.25887,1.9404,1.31883,0.00022678,0.00022678,0.00022678
12,1228.51,1.2835,1.86502,1.36454,0.66251,0.22015,0.19688,0.11263,1.20936,2.01341,1.30451,0.000182758,0.000182758,0.000182758
13,1340.49,1.24211,1.82456,1.34912,0.69396,0.22468,0.22581,0.13258,1.19766,1.81484,1.29157,0.000138736,0.000138736,0.000138736
14,1438.71,1.19285,1.73966,1.31749,0.68332,0.22389,0.1953,0.11885,1.19134,1.77876,1.29015,9.4714e-05,9.4714e-05,9.4714e-05
15,1534.28,1.18508,1.74372,1.30229,0.69626,0.22333,0.21918,0.12847,1.15243,1.75085,1.27371,5.0692e-05,5.0692e-05,5.0692e-05
